nb_val,min,max
2,0.032332645854250656,1.0
3,0.06763726245158773,0.8249247977520497
4,0.09593045285213284,0.7610644882437786
5,0.12083778065166265,0.7080988232025378
6,0.14379546277397487,0.6788255383485751
7,0.16694817170432255,0.6559862000475831
8,0.18674220846221726,0.6371220557170869
9,0.20545484016718604,0.620712843305423
10,0.22450549682483456,0.6068374960118982
11,0.24309489209735383,0.59408885818552
12,0.2613356978892385,0.5820829536598147
13,0.2790397844323016,0.5708987342741114
14,0.29601053202856054,0.5604459347599565
15,0.3118332280481738,0.5502642276004395
16,0.3272445069141844,0.5404906281340096
17,0.3424842043536577,0.5308480440757719
18,0.35755435142016057,0.5212546318129694
19,0.3722167732808265,0.5117514935017341
20,0.38627846635289964,0.502436572639298
21,0.3999278265186997,0.49319869996519644
22,0.41315653493355653,0.48378128153056804
23,0.42664240823383565,0.4743516686113133
24,0.4403563760686072,0.46477596324357306
25,0.45501073461669117,0.45501073461669117
